Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+1D65D	𝙝	\bisansh	Mathematical Sans-Serif Bold Italic Small H
U+1D65E	𝙞	\bisansi	Mathematical Sans-Serif Bold Italic Small I
U+1D65F	𝙟	\bisansj	Mathematical Sans-Serif Bold Italic Small J
U+1D660	𝙠	\bisansk	Mathematical Sans-Serif Bold Italic Small K
U+1D661	𝙡	\bisansl	Mathematical Sans-Serif Bold Italic Small L
U+1D662	𝙢	\bisansm	Mathematical Sans-Serif Bold Italic Small M
U+1D663	𝙣	\bisansn	Mathematical Sans-Serif Bold Italic Small N
U+1D664	𝙤	\bisanso	Mathematical Sans-Serif Bold Italic Small O
U+1D665	𝙥	\bisansp	Mathematical Sans-Serif Bold Italic Small P
U+1D666	𝙦	\bisansq	Mathematical Sans-Serif Bold Italic Small Q
U+1D667	𝙧	\bisansr	Mathematical Sans-Serif Bold Italic Small R
U+1D668	𝙨	\bisanss	Mathematical Sans-Serif Bold Italic Small S
U+1D669	𝙩	\bisanst	Mathematical Sans-Serif Bold Italic Small T
U+1D66A	𝙪	\bisansu	Mathematical Sans-Serif Bold Italic Small U
U+1D66B	𝙫	\bisansv	Mathematical Sans-Serif Bold Italic Small V
U+1D66C	𝙬	\bisansw	Mathematical Sans-Serif Bold Italic Small W
U+1D66D	𝙭	\bisansx	Mathematical Sans-Serif Bold Italic Small X
U+1D66E	𝙮	\bisansy	Mathematical Sans-Serif Bold Italic Small Y
U+1D66F	𝙯	\bisansz	Mathematical Sans-Serif Bold Italic Small Z
U+1D670	𝙰	\ttA	Mathematical Monospace Capital A
U+1D671	𝙱	\ttB	Mathematical Monospace Capital B
U+1D672	𝙲	\ttC	Mathematical Monospace Capital C
U+1D673	𝙳	\ttD	Mathematical Monospace Capital D
U+1D674	𝙴	\ttE	Mathematical Monospace Capital E
U+1D675	𝙵	\ttF	Mathematical Monospace Capital F
U+1D676	𝙶	\ttG	Mathematical Monospace Capital G
U+1D677	𝙷	\ttH	Mathematical Monospace Capital H
U+1D678	𝙸	\ttI	Mathematical Monospace Capital I
U+1D679	𝙹	\ttJ	Mathematical Monospace Capital J
U+1D67A	𝙺	\ttK	Mathematical Monospace Capital K
U+1D67B	𝙻	\ttL	Mathematical Monospace Capital L
U+1D67C	𝙼	\ttM	Mathematical Monospace Capital M
U+1D67D	𝙽	\ttN	Mathematical Monospace Capital N
U+1D67E	𝙾	\ttO	Mathematical Monospace Capital O
U+1D67F	𝙿	\ttP	Mathematical Monospace Capital P
U+1D680	𝚀	\ttQ	Mathematical Monospace Capital Q
U+1D681	𝚁	\ttR	Mathematical Monospace Capital R
U+1D682	𝚂	\ttS	Mathematical Monospace Capital S
U+1D683	𝚃	\ttT	Mathematical Monospace Capital T
U+1D684	𝚄	\ttU	Mathematical Monospace Capital U
U+1D685	𝚅	\ttV	Mathematical Monospace Capital V
U+1D686	𝚆	\ttW	Mathematical Monospace Capital W
U+1D687	𝚇	\ttX	Mathematical Monospace Capital X
U+1D688	𝚈	\ttY	Mathematical Monospace Capital Y
U+1D689	𝚉	\ttZ	Mathematical Monospace Capital Z
U+1D68A	𝚊	\tta	Mathematical Monospace Small A
U+1D68B	𝚋	\ttb	Mathematical Monospace Small B
U+1D68C	𝚌	\ttc	Mathematical Monospace Small C
U+1D68D	𝚍	\ttd	Mathematical Monospace Small D
U+1D68E	𝚎	\tte	Mathematical Monospace Small E
U+1D68F	𝚏	\ttf	Mathematical Monospace Small F
U+1D690	𝚐	\ttg	Mathematical Monospace Small G
U+1D691	𝚑	\tth	Mathematical Monospace Small H
U+1D692	𝚒	\tti	Mathematical Monospace Small I
U+1D693	𝚓	\ttj	Mathematical Monospace Small J
U+1D694	𝚔	\ttk	Mathematical Monospace Small K
U+1D695	𝚕	\ttl	Mathematical Monospace Small L
U+1D696	𝚖	\ttm	Mathematical Monospace Small M
U+1D697	𝚗	\ttn	Mathematical Monospace Small N
U+1D698	𝚘	\tto	Mathematical Monospace Small O
U+1D699	𝚙	\ttp	Mathematical Monospace Small P
U+1D69A	𝚚	\ttq	Mathematical Monospace Small Q
U+1D69B	𝚛	\ttr	Mathematical Monospace Small R
U+1D69C	𝚜	\tts	Mathematical Monospace Small S
U+1D69D	𝚝	\ttt	Mathematical Monospace Small T
U+1D69E	𝚞	\ttu	Mathematical Monospace Small U
U+1D69F	𝚟	\ttv	Mathematical Monospace Small V
U+1D6A0	𝚠	\ttw	Mathematical Monospace Small W
U+1D6A1	𝚡	\ttx	Mathematical Monospace Small X
U+1D6A2	𝚢	\tty	Mathematical Monospace Small Y
U+1D6A3	𝚣	\ttz	Mathematical Monospace Small Z
U+1D6A4	𝚤	\itimath	Mathematical Italic Small Dotless I
U+1D6A5	𝚥	\itjmath	Mathematical Italic Small Dotless J
U+1D6A8	𝚨	\bfAlpha	Mathematical Bold Capital Alpha
U+1D6A9	𝚩	\bfBeta	Mathematical Bold Capital Beta
U+1D6AA	𝚪	\bfGamma	Mathematical Bold Capital Gamma
U+1D6AB	𝚫	\bfDelta	Mathematical Bold Capital Delta
U+1D6AC	𝚬	\bfEpsilon	Mathematical Bold Capital Epsilon
U+1D6AD	𝚭	\bfZeta	Mathematical Bold Capital Zeta
U+1D6AE	𝚮	\bfEta	Mathematical Bold Capital Eta
U+1D6AF	𝚯	\bfTheta	Mathematical Bold Capital Theta
U+1D6B0	𝚰	\bfIota	Mathematical Bold Capital Iota
U+1D6B1	𝚱	\bfKappa	Mathematical Bold Capital Kappa
U+1D6B2	𝚲	\bfLambda	Mathematical Bold Capital Lamda
U+1D6B3	𝚳	\bfMu	Mathematical Bold Capital Mu
U+1D6B4	𝚴	\bfNu	Mathematical Bold Capital Nu
U+1D6B5	𝚵	\bfXi	Mathematical Bold Capital Xi
U+1D6B6	𝚶	\bfOmicron	Mathematical Bold Capital Omicron
U+1D6B7	𝚷	\bfPi	Mathematical Bold Capital Pi
U+1D6B8	𝚸	\bfRho	Mathematical Bold Capital Rho
U+1D6B9	𝚹	\bfvarTheta	Mathematical Bold Capital Theta Symbol
U+1D6BA	𝚺	\bfSigma	Mathematical Bold Capital Sigma
U+1D6BB	𝚻	\bfTau	Mathematical Bold Capital Tau
U+1D6BC	𝚼	\bfUpsilon	Mathematical Bold Capital Upsilon
U+1D6BD	𝚽	\bfPhi	Mathematical Bold Capital Phi
U+1D6BE	𝚾	\bfChi	Mathematical Bold Capital Chi
U+1D6BF	𝚿	\bfPsi	Mathematical Bold Capital Psi
U+1D6C0	𝛀	\bfOmega	Mathematical Bold Capital Omega
U+1D6C1	𝛁	\bfnabla	Mathematical Bold Nabla
U+1D6C2	𝛂	\bfalpha	Mathematical Bold Small Alpha
U+1D6C3	𝛃	\bfbeta	Mathematical Bold Small Beta
U+1D6C4	𝛄	\bfgamma	Mathematical Bold Small Gamma
U+1D6C5	𝛅	\bfdelta	Mathematical Bold Small Delta
U+1D6C6	𝛆	\bfepsilon	Mathematical Bold Small Epsilon
U+1D6C7	𝛇	\bfzeta	Mathematical Bold Small Zeta
U+1D6C8	𝛈	\bfeta	Mathematical Bold Small Eta
U+1D6C9	𝛉	\bftheta	Mathematical Bold Small Theta
U+1D6CA	𝛊	\bfiota	Mathematical Bold Small Iota
U+1D6CB	𝛋	\bfkappa	Mathematical Bold Small Kappa
U+1D6CC	𝛌	\bflambda	Mathematical Bold Small Lamda
U+1D6CD	𝛍	\bfmu	Mathematical Bold Small Mu
U+1D6CE	𝛎	\bfnu	Mathematical Bold Small Nu
U+1D6CF	𝛏	\bfxi	Mathematical Bold Small Xi
U+1D6D0	𝛐	\bfomicron	Mathematical Bold Small Omicron
U+1D6D1	𝛑	\bfpi	Mathematical Bold Small Pi
U+1D6D2	𝛒	\bfrho	Mathematical Bold Small Rho
U+1D6D3	𝛓	\bfvarsigma	Mathematical Bold Small Final Sigma
U+1D6D4	𝛔	\bfsigma	Mathematical Bold Small Sigma
U+1D6D5	𝛕	\bftau	Mathematical Bold Small Tau
U+1D6D6	𝛖	\bfupsilon	Mathematical Bold Small Upsilon
U+1D6D7	𝛗	\bfvarphi	Mathematical Bold Small Phi
U+1D6D8	𝛘	\bfchi	Mathematical Bold Small Chi
U+1D6D9	𝛙	\bfpsi	Mathematical Bold Small Psi
U+1D6DA	𝛚	\bfomega	Mathematical Bold Small Omega
U+1D6DB	𝛛	\bfpartial	Mathematical Bold Partial Differential
U+1D6DC	𝛜	\bfvarepsilon	Mathematical Bold Epsilon Symbol
U+1D6DD	𝛝	\bfvartheta	Mathematical Bold Theta Symbol
U+1D6DE	𝛞	\bfvarkappa	Mathematical Bold Kappa Symbol
U+1D6DF	𝛟	\bfphi	Mathematical Bold Phi Symbol
U+1D6E0	𝛠	\bfvarrho	Mathematical Bold Rho Symbol
U+1D6E1	𝛡	\bfvarpi	Mathematical Bold Pi Symbol
U+1D6E2	𝛢	\itAlpha	Mathematical Italic Capital Alpha
U+1D6E3	𝛣	\itBeta	Mathematical Italic Capital Beta
U+1D6E4	𝛤	\itGamma	Mathematical Italic Capital Gamma
U+1D6E5	𝛥	\itDelta	Mathematical Italic Capital Delta
U+1D6E6	𝛦	\itEpsilon	Mathematical Italic Capital Epsilon
U+1D6E7	𝛧	\itZeta	Mathematical Italic Capital Zeta
U+1D6E8	𝛨	\itEta	Mathematical Italic Capital Eta
U+1D6E9	𝛩	\itTheta	Mathematical Italic Capital Theta
U+1D6EA	𝛪	\itIota	Mathematical Italic Capital Iota
U+1D6EB	𝛫	\itKappa	Mathematical Italic Capital Kappa
U+1D6EC	𝛬	\itLambda	Mathematical Italic Capital Lamda
U+1D6ED	𝛭	\itMu	Mathematical Italic Capital Mu
U+1D6EE	𝛮	\itNu	Mathematical Italic Capital Nu
U+1D6EF	𝛯	\itXi	Mathematical Italic Capital Xi
U+1D6F0	𝛰	\itOmicron	Mathematical Italic Capital Omicron
U+1D6F1	𝛱	\itPi	Mathematical Italic Capital Pi
U+1D6F2	𝛲	\itRho	Mathematical Italic Capital Rho
U+1D6F3	𝛳	\itvarTheta	Mathematical Italic Capital Theta Symbol
U+1D6F4	𝛴	\itSigma	Mathematical Italic Capital Sigma
U+1D6F5	𝛵	\itTau	Mathematical Italic Capital Tau
U+1D6F6	𝛶	\itUpsilon	Mathematical Italic Capital Upsilon
U+1D6F7	𝛷	\itPhi	Mathematical Italic Capital Phi
U+1D6F8	𝛸	\itChi	Mathematical Italic Capital Chi
U+1D6F9	𝛹	\itPsi	Mathematical Italic Capital Psi
U+1D6FA	𝛺	\itOmega	Mathematical Italic Capital Omega
U+1D6FB	𝛻	\itnabla	Mathematical Italic Nabla
U+1D6FC	𝛼	\italpha	Mathematical Italic Small Alpha
U+1D6FD	𝛽	\itbeta	Mathematical Italic Small Beta
U+1D6FE	𝛾	\itgamma	Mathematical Italic Small Gamma
U+1D6FF	𝛿	\itdelta	Mathematical Italic Small Delta
U+1D700	𝜀	\itepsilon	Mathematical Italic Small Epsilon
U+1D701	𝜁	\itzeta	Mathematical Italic Small Zeta
U+1D702	𝜂	\iteta	Mathematical Italic Small Eta
U+1D703	𝜃	\ittheta	Mathematical Italic Small Theta
U+1D704	𝜄	\itiota	Mathematical Italic Small Iota
U+1D705	𝜅	\itkappa	Mathematical Italic Small Kappa
U+1D706	𝜆	\itlambda	Mathematical Italic Small Lamda
U+1D707	𝜇	\itmu	Mathematical Italic Small Mu
U+1D708	𝜈	\itnu	Mathematical Italic Small Nu
U+1D709	𝜉	\itxi	Mathematical Italic Small Xi
U+1D70A	𝜊	\itomicron	Mathematical Italic Small Omicron
U+1D70B	𝜋	\itpi	Mathematical Italic Small Pi
U+1D70C	𝜌	\itrho	Mathematical Italic Small Rho
U+1D70D	𝜍	\itvarsigma	Mathematical Italic Small Final Sigma
U+1D70E	𝜎	\itsigma	Mathematical Italic Small Sigma
U+1D70F	𝜏	\ittau	Mathematical Italic Small Tau
U+1D710	𝜐	\itupsilon	Mathematical Italic Small Upsilon
U+1D711	𝜑	\itphi	Mathematical Italic Small Phi
U+1D712	𝜒	\itchi	Mathematical Italic Small Chi
U+1D713	𝜓	\itpsi	Mathematical Italic Small Psi
U+1D714	𝜔	\itomega	Mathematical Italic Small Omega
U+1D715	𝜕	\itpartial	Mathematical Italic Partial Differential
U+1D716	𝜖	\itvarepsilon	Mathematical Italic Epsilon Symbol
U+1D717	𝜗	\itvartheta	Mathematical Italic Theta Symbol
U+1D718	𝜘	\itvarkappa	Mathematical Italic Kappa Symbol
U+1D719	𝜙	\itvarphi	Mathematical Italic Phi Symbol
U+1D71A	𝜚	\itvarrho	Mathematical Italic Rho Symbol
U+1D71B	𝜛	\itvarpi	Mathematical Italic Pi Symbol
U+1D71C	𝜜	\biAlpha	Mathematical Bold Italic Capital Alpha
U+1D71D	𝜝	\biBeta	Mathematical Bold Italic Capital Beta
U+1D71E	𝜞	\biGamma	Mathematical Bold Italic Capital Gamma
U+1D71F	𝜟	\biDelta	Mathematical Bold Italic Capital Delta
U+1D720	𝜠	\biEpsilon	Mathematical Bold Italic Capital Epsilon
U+1D721	𝜡	\biZeta	Mathematical Bold Italic Capital Zeta
U+1D722	𝜢	\biEta	Mathematical Bold Italic Capital Eta
U+1D723	𝜣	\biTheta	Mathematical Bold Italic Capital Theta
U+1D724	𝜤	\biIota	Mathematical Bold Italic Capital Iota
U+1D725	𝜥	\biKappa	Mathematical Bold Italic Capital Kappa
U+1D726	𝜦	\biLambda	Mathematical Bold Italic Capital Lamda
U+1D727	𝜧	\biMu	Mathematical Bold Italic Capital Mu
U+1D728	𝜨	\biNu	Mathematical Bold Italic Capital Nu
U+1D729	𝜩	\biXi	Mathematical Bold Italic Capital Xi
U+1D72A	𝜪	\biOmicron	Mathematical Bold Italic Capital Omicron
U+1D72B	𝜫	\biPi	Mathematical Bold Italic Capital Pi
U+1D72C	𝜬	\biRho	Mathematical Bold Italic Capital Rho
U+1D72D	𝜭	\bivarTheta	Mathematical Bold Italic Capital Theta Symbol
U+1D72E	𝜮	\biSigma	Mathematical Bold Italic Capital Sigma
U+1D72F	𝜯	\biTau	Mathematical Bold Italic Capital Tau
U+1D730	𝜰	\biUpsilon	Mathematical Bold Italic Capital Upsilon
U+1D731	𝜱	\biPhi	Mathematical Bold Italic Capital Phi
U+1D732	𝜲	\biChi	Mathematical Bold Italic Capital Chi
U+1D733	𝜳	\biPsi	Mathematical Bold Italic Capital Psi
U+1D734	𝜴	\biOmega	Mathematical Bold Italic Capital Omega
U+1D735	𝜵	\binabla	Mathematical Bold Italic Nabla
U+1D736	𝜶	\bialpha	Mathematical Bold Italic Small Alpha
U+1D737	𝜷	\bibeta	Mathematical Bold Italic Small Beta
U+1D738	𝜸	\bigamma	Mathematical Bold Italic Small Gamma
U+1D739	𝜹	\bidelta	Mathematical Bold Italic Small Delta
U+1D73A	𝜺	\biepsilon	Mathematical Bold Italic Small Epsilon
U+1D73B	𝜻	\bizeta	Mathematical Bold Italic Small Zeta
U+1D73C	𝜼	\bieta	Mathematical Bold Italic Small Eta
U+1D73D	𝜽	\bitheta	Mathematical Bold Italic Small Theta
U+1D73E	𝜾	\biiota	Mathematical Bold Italic Small Iota
U+1D73F	𝜿	\bikappa	Mathematical Bold Italic Small Kappa
U+1D740	𝝀	\bilambda	Mathematical Bold Italic Small Lamda
U+1D741	𝝁	\bimu	Mathematical Bold Italic Small Mu
U+1D742	𝝂	\binu	Mathematical Bold Italic Small Nu
U+1D743	𝝃	\bixi	Mathematical Bold Italic Small Xi
U+1D744	𝝄	\biomicron	Mathematical Bold Italic Small Omicron
U+1D745	𝝅	\bipi	Mathematical Bold Italic Small Pi
U+1D746	𝝆	\birho	Mathematical Bold Italic Small Rho
U+1D747	𝝇	\bivarsigma	Mathematical Bold Italic Small Final Sigma
U+1D748	𝝈	\bisigma	Mathematical Bold Italic Small Sigma
U+1D749	𝝉	\bitau	Mathematical Bold Italic Small Tau
U+1D74A	𝝊	\biupsilon	Mathematical Bold Italic Small Upsilon
U+1D74B	𝝋	\biphi	Mathematical Bold Italic Small Phi
U+1D74C	𝝌	\bichi	Mathematical Bold Italic Small Chi
U+1D74D	𝝍	\bipsi	Mathematical Bold Italic Small Psi
U+1D74E	𝝎	\biomega	Mathematical Bold Italic Small Omega
U+1D74F	𝝏	\bipartial	Mathematical Bold Italic Partial Differential
U+1D750	𝝐	\bivarepsilon	Mathematical Bold Italic Epsilon Symbol
U+1D751	𝝑	\bivartheta	Mathematical Bold Italic Theta Symbol
U+1D752	𝝒	\bivarkappa	Mathematical Bold Italic Kappa Symbol
U+1D753	𝝓	\bivarphi	Mathematical Bold Italic Phi Symbol
U+1D754	𝝔	\bivarrho	Mathematical Bold Italic Rho Symbol
U+1D755	𝝕	\bivarpi	Mathematical Bold Italic Pi Symbol
U+1D756	𝝖	\bsansAlpha	Mathematical Sans-Serif Bold Capital Alpha
U+1D757	𝝗	\bsansBeta	Mathematical Sans-Serif Bold Capital Beta
U+1D758	𝝘	\bsansGamma	Mathematical Sans-Serif Bold Capital Gamma
U+1D759	𝝙	\bsansDelta	Mathematical Sans-Serif Bold Capital Delta
U+1D75A	𝝚	\bsansEpsilon	Mathematical Sans-Serif Bold Capital Epsilon
U+1D75B	𝝛	\bsansZeta	Mathematical Sans-Serif Bold Capital Zeta
U+1D75C	𝝜	\bsansEta	Mathematical Sans-Serif Bold Capital Eta
U+1D75D	𝝝	\bsansTheta	Mathematical Sans-Serif Bold Capital Theta
U+1D75E	𝝞	\bsansIota	Mathematical Sans-Serif Bold Capital Iota
U+1D75F	𝝟	\bsansKappa	Mathematical Sans-Serif Bold Capital Kappa
U+1D760	𝝠	\bsansLambda	Mathematical Sans-Serif Bold Capital Lamda
U+1D761	𝝡	\bsansMu	Mathematical Sans-Serif Bold Capital Mu
U+1D762	𝝢	\bsansNu	Mathematical Sans-Serif Bold Capital Nu
U+1D763	𝝣	\bsansXi	Mathematical Sans-Serif Bold Capital Xi
U+1D764	𝝤	\bsansOmicron	Mathematical Sans-Serif Bold Capital Omicron
U+1D765	𝝥	\bsansPi	Mathematical Sans-Serif Bold Capital Pi
U+1D766	𝝦	\bsansRho	Mathematical Sans-Serif Bold Capital Rho
U+1D767	𝝧	\bsansvarTheta	Mathematical Sans-Serif Bold Capital Theta Symbol
U+1D768	𝝨	\bsansSigma	Mathematical Sans-Serif Bold Capital Sigma
U+1D769	𝝩	\bsansTau	Mathematical Sans-Serif Bold Capital Tau
U+1D76A	𝝪	\bsansUpsilon	Mathematical Sans-Serif Bold Capital Upsilon
U+1D76B	𝝫	\bsansPhi	Mathematical Sans-Serif Bold Capital Phi
U+1D76C	𝝬	\bsansChi	Mathematical Sans-Serif Bold Capital Chi
U+1D76D	𝝭	\bsansPsi	Mathematical Sans-Serif Bold Capital Psi
U+1D76E	𝝮	\bsansOmega	Mathematical Sans-Serif Bold Capital Omega
U+1D76F	𝝯	\bsansnabla	Mathematical Sans-Serif Bold Nabla
U+1D770	𝝰	\bsansalpha	Mathematical Sans-Serif Bold Small Alpha
U+1D771	𝝱	\bsansbeta	Mathematical Sans-Serif Bold Small Beta
U+1D772	𝝲	\bsansgamma	Mathematical Sans-Serif Bold Small Gamma
U+1D773	𝝳	\bsansdelta	Mathematical Sans-Serif Bold Small Delta
U+1D774	𝝴	\bsansepsilon	Mathematical Sans-Serif Bold Small Epsilon
U+1D775	𝝵	\bsanszeta	Mathematical Sans-Serif Bold Small Zeta
U+1D776	𝝶	\bsanseta	Mathematical Sans-Serif Bold Small Eta
U+1D777	𝝷	\bsanstheta	Mathematical Sans-Serif Bold Small Theta
U+1D778	𝝸	\bsansiota	Mathematical Sans-Serif Bold Small Iota
U+1D779	𝝹	\bsanskappa	Mathematical Sans-Serif Bold Small Kappa
U+1D77A	𝝺	\bsanslambda	Mathematical Sans-Serif Bold Small Lamda
U+1D77B	𝝻	\bsansmu	Mathematical Sans-Serif Bold Small Mu
U+1D77C	𝝼	\bsansnu	Mathematical Sans-Serif Bold Small Nu
U+1D77D	𝝽	\bsansxi	Mathematical Sans-Serif Bold Small Xi
U+1D77E	𝝾	\bsansomicron	Mathematical Sans-Serif Bold Small Omicron
U+1D77F	𝝿	\bsanspi	Mathematical Sans-Serif Bold Small Pi
U+1D780	𝞀	\bsansrho	Mathematical Sans-Serif Bold Small Rho
U+1D781	𝞁	\bsansvarsigma	Mathematical Sans-Serif Bold Small Final Sigma
U+1D782	𝞂	\bsanssigma	Mathematical Sans-Serif Bold Small Sigma
U+1D783	𝞃	\bsanstau	Mathematical Sans-Serif Bold Small Tau
U+1D784	𝞄	\bsansupsilon	Mathematical Sans-Serif Bold Small Upsilon
U+1D785	𝞅	\bsansphi	Mathematical Sans-Serif Bold Small Phi
U+1D786	𝞆	\bsanschi	Mathematical Sans-Serif Bold Small Chi
U+1D787	𝞇	\bsanspsi	Mathematical Sans-Serif Bold Small Psi
U+1D788	𝞈	\bsansomega	Mathematical Sans-Serif Bold Small Omega
U+1D789	𝞉	\bsanspartial	Mathematical Sans-Serif Bold Partial Differential
U+1D78A	𝞊	\bsansvarepsilon	Mathematical Sans-Serif Bold Epsilon Symbol
U+1D78B	𝞋	\bsansvartheta	Mathematical Sans-Serif Bold Theta Symbol
U+1D78C	𝞌	\bsansvarkappa	Mathematical Sans-Serif Bold Kappa Symbol
U+1D78D	𝞍	\bsansvarphi	Mathematical Sans-Serif Bold Phi Symbol
U+1D78E	𝞎	\bsansvarrho	Mathematical Sans-Serif Bold Rho Symbol
U+1D78F	𝞏	\bsansvarpi	Mathematical Sans-Serif Bold Pi Symbol
U+1D790	𝞐	\bisansAlpha	Mathematical Sans-Serif Bold Italic Capital Alpha
U+1D791	𝞑	\bisansBeta	Mathematical Sans-Serif Bold Italic Capital Beta
U+1D792	𝞒	\bisansGamma	Mathematical Sans-Serif Bold Italic Capital Gamma
U+1D793	𝞓	\bisansDelta	Mathematical Sans-Serif Bold Italic Capital Delta
U+1D794	𝞔	\bisansEpsilon	Mathematical Sans-Serif Bold Italic Capital Epsilon
U+1D795	𝞕	\bisansZeta	Mathematical Sans-Serif Bold Italic Capital Zeta
U+1D796	𝞖	\bisansEta	Mathematical Sans-Serif Bold Italic Capital Eta
U+1D797	𝞗	\bisansTheta	Mathematical Sans-Serif Bold Italic Capital Theta
U+1D798	𝞘	\bisansIota	Mathematical Sans-Serif Bold Italic Capital Iota
U+1D799	𝞙	\bisansKappa	Mathematical Sans-Serif Bold Italic Capital Kappa
U+1D79A	𝞚	\bisansLambda	Mathematical Sans-Serif Bold Italic Capital Lamda
U+1D79B	𝞛	\bisansMu	Mathematical Sans-Serif Bold Italic Capital Mu
U+1D79C	𝞜	\bisansNu	Mathematical Sans-Serif Bold Italic Capital Nu
U+1D79D	𝞝	\bisansXi	Mathematical Sans-Serif Bold Italic Capital Xi
U+1D79E	𝞞	\bisansOmicron	Mathematical Sans-Serif Bold Italic Capital Omicron
U+1D79F	𝞟	\bisansPi	Mathematical Sans-Serif Bold Italic Capital Pi
U+1D7A0	𝞠	\bisansRho	Mathematical Sans-Serif Bold Italic Capital Rho
U+1D7A1	𝞡	\bisansvarTheta	Mathematical Sans-Serif Bold Italic Capital Theta Symbol
U+1D7A2	𝞢	\bisansSigma	Mathematical Sans-Serif Bold Italic Capital Sigma
U+1D7A3	𝞣	\bisansTau	Mathematical Sans-Serif Bold Italic Capital Tau
U+1D7A4	𝞤	\bisansUpsilon	Mathematical Sans-Serif Bold Italic Capital Upsilon
U+1D7A5	𝞥	\bisansPhi	Mathematical Sans-Serif Bold Italic Capital Phi
U+1D7A6	𝞦	\bisansChi	Mathematical Sans-Serif Bold Italic Capital Chi
U+1D7A7	𝞧	\bisansPsi	Mathematical Sans-Serif Bold Italic Capital Psi
U+1D7A8	𝞨	\bisansOmega	Mathematical Sans-Serif Bold Italic Capital Omega
U+1D7A9	𝞩	\bisansnabla	Mathematical Sans-Serif Bold Italic Nabla
U+1D7AA	𝞪	\bisansalpha	Mathematical Sans-Serif Bold Italic Small Alpha
U+1D7AB	𝞫	\bisansbeta	Mathematical Sans-Serif Bold Italic Small Beta
U+1D7AC	𝞬	\bisansgamma	Mathematical Sans-Serif Bold Italic Small Gamma
U+1D7AD	𝞭	\bisansdelta	Mathematical Sans-Serif Bold Italic Small Delta
U+1D7AE	𝞮	\bisansepsilon	Mathematical Sans-Serif Bold Italic Small Epsilon
U+1D7AF	𝞯	\bisanszeta	Mathematical Sans-Serif Bold Italic Small Zeta
U+1D7B0	𝞰	\bisanseta	Mathematical Sans-Serif Bold Italic Small Eta
U+1D7B1	𝞱	\bisanstheta	Mathematical Sans-Serif Bold Italic Small Theta
U+1D7B2	𝞲	\bisansiota	Mathematical Sans-Serif Bold Italic Small Iota
U+1D7B3	𝞳	\bisanskappa	Mathematical Sans-Serif Bold Italic Small Kappa
U+1D7B4	𝞴	\bisanslambda	Mathematical Sans-Serif Bold Italic Small Lamda
U+1D7B5	𝞵	\bisansmu	Mathematical Sans-Serif Bold Italic Small Mu
U+1D7B6	𝞶	\bisansnu	Mathematical Sans-Serif Bold Italic Small Nu
U+1D7B7	𝞷	\bisansxi	Mathematical Sans-Serif Bold Italic Small Xi
U+1D7B8	𝞸	\bisansomicron	Mathematical Sans-Serif Bold Italic Small Omicron
U+1D7B9	𝞹	\bisanspi	Mathematical Sans-Serif Bold Italic Small Pi
U+1D7BA	𝞺	\bisansrho	Mathematical Sans-Serif Bold Italic Small Rho
U+1D7BB	𝞻	\bisansvarsigma	Mathematical Sans-Serif Bold Italic Small Final Sigma
U+1D7BC	𝞼	\bisanssigma	Mathematical Sans-Serif Bold Italic Small Sigma
U+1D7BD	𝞽	\bisanstau	Mathematical Sans-Serif Bold Italic Small Tau
U+1D7BE	𝞾	\bisansupsilon	Mathematical Sans-Serif Bold Italic Small Upsilon
U+1D7BF	𝞿	\bisansphi	Mathematical Sans-Serif Bold Italic Small Phi
U+1D7C0	𝟀	\bisanschi	Mathematical Sans-Serif Bold Italic Small Chi
U+1D7C1	𝟁	\bisanspsi	Mathematical Sans-Serif Bold Italic Small Psi
U+1D7C2	𝟂	\bisansomega	Mathematical Sans-Serif Bold Italic Small Omega
U+1D7C3	𝟃	\bisanspartial	Mathematical Sans-Serif Bold Italic Partial Differential
U+1D7C4	𝟄	\bisansvarepsilon	Mathematical Sans-Serif Bold Italic Epsilon Symbol
U+1D7C5	𝟅	\bisansvartheta	Mathematical Sans-Serif Bold Italic Theta Symbol
U+1D7C6	𝟆	\bisansvarkappa	Mathematical Sans-Serif Bold Italic Kappa Symbol
U+1D7C7	𝟇	\bisansvarphi	Mathematical Sans-Serif Bold Italic Phi Symbol
U+1D7C8	𝟈	\bisansvarrho	Mathematical Sans-Serif Bold Italic Rho Symbol
U+1D7C9	𝟉	\bisansvarpi	Mathematical Sans-Serif Bold Italic Pi Symbol
U+1D7CA	𝟊	\bfDigamma	Mathematical Bold Capital Digamma
U+1D7CB	𝟋	\bfdigamma	Mathematical Bold Small Digamma
U+1D7CE	𝟎	\bfzero	Mathematical Bold Digit Zero
U+1D7CF	𝟏	\bfone	Mathematical Bold Digit One
U+1D7D0	𝟐	\bftwo	Mathematical Bold Digit Two
U+1D7D1	𝟑	\bfthree	Mathematical Bold Digit Three
U+1D7D2	𝟒	\bffour	Mathematical Bold Digit Four
U+1D7D3	𝟓	\bffive	Mathematical Bold Digit Five
U+1D7D4	𝟔	\bfsix	Mathematical Bold Digit Six
U+1D7D5	𝟕	\bfseven	Mathematical Bold Digit Seven
U+1D7D6	𝟖	\bfeight	Mathematical Bold Digit Eight
U+1D7D7	𝟗	\bfnine	Mathematical Bold Digit Nine
U+1D7D8	𝟘	\bbzero	Mathematical Double-Struck Digit Zero
U+1D7D9	𝟙	\bbone	Mathematical Double-Struck Digit One
